State_Code,District,Type,Status,Count
UP,Mathura,total,confirmed,20297
UP,Mathura,total,deceased,402
UP,Mathura,total,recovered,19893
UP,Mathura,total,tested,198379
UP,Mathura,total,vaccinated1,1207578
UP,Mathura,total,vaccinated2,418117
UP,Mau,delta,vaccinated1,787
UP,Mau,delta,vaccinated2,453
UP,Mau,delta7,confirmed,1
UP,Mau,delta7,recovered,1
UP,Mau,delta7,vaccinated1,25202
UP,Mau,delta7,vaccinated2,32390
UP,Mau,meta,population,2205170
UP,Mau,total,confirmed,8333
UP,Mau,total,deceased,80
UP,Mau,total,recovered,8252
UP,Mau,total,tested,281445
UP,Mau,total,vaccinated1,1017497
UP,Mau,total,vaccinated2,307052
UP,Meerut,delta,confirmed,1
UP,Meerut,delta,vaccinated1,25
UP,Meerut,delta,vaccinated2,79
UP,Meerut,delta21_14,confirmed,5
UP,Meerut,delta7,confirmed,13
UP,Meerut,delta7,recovered,3
UP,Meerut,delta7,vaccinated1,25100
UP,Meerut,delta7,vaccinated2,57600
UP,Meerut,meta,population,3447405
UP,Meerut,total,confirmed,69480
UP,Meerut,total,deceased,898
UP,Meerut,total,recovered,68567
UP,Meerut,total,tested,798404
UP,Meerut,total,vaccinated1,1764744
UP,Meerut,total,vaccinated2,842448
UP,Mirzapur,delta,recovered,1
UP,Mirzapur,delta,vaccinated1,787
UP,Mirzapur,delta,vaccinated2,419
UP,Mirzapur,delta7,recovered,1
UP,Mirzapur,delta7,vaccinated1,24968
UP,Mirzapur,delta7,vaccinated2,41785
UP,Mirzapur,meta,population,2494533
UP,Mirzapur,total,confirmed,11088
UP,Mirzapur,total,deceased,116
UP,Mirzapur,total,recovered,10972
UP,Mirzapur,total,tested,312764
UP,Mirzapur,total,vaccinated1,1335308
UP,Mirzapur,total,vaccinated2,462157
UP,Moradabad,delta,recovered,1
UP,Moradabad,delta,vaccinated1,3951
UP,Moradabad,delta,vaccinated2,2357
UP,Moradabad,delta7,recovered,1
UP,Moradabad,delta7,vaccinated1,52013
UP,Moradabad,delta7,vaccinated2,39070
UP,Moradabad,meta,population,4773138
UP,Moradabad,total,confirmed,39102
UP,Moradabad,total,deceased,349
UP,Moradabad,total,recovered,38752
UP,Moradabad,total,tested,400459
UP,Moradabad,total,vaccinated1,1390249
UP,Moradabad,total,vaccinated2,443211
UP,Muzaffarnagar,delta,vaccinated1,979
UP,Muzaffarnagar,delta,vaccinated2,707
UP,Muzaffarnagar,delta21_14,confirmed,1
UP,Muzaffarnagar,delta7,confirmed,1
UP,Muzaffarnagar,delta7,vaccinated1,15476
UP,Muzaffarnagar,delta7,vaccinated2,38924
UP,Muzaffarnagar,meta,population,4138605
UP,Muzaffarnagar,total,confirmed,31009
UP,Muzaffarnagar,total,deceased,269
UP,Muzaffarnagar,total,recovered,30737
UP,Muzaffarnagar,total,tested,161704
UP,Muzaffarnagar,total,vaccinated1,1264005
UP,Muzaffarnagar,total,vaccinated2,467387
UP,Pilibhit,delta,vaccinated1,2
UP,Pilibhit,delta,vaccinated2,1
UP,Pilibhit,delta21_14,confirmed,1
UP,Pilibhit,delta7,vaccinated1,9611
UP,Pilibhit,delta7,vaccinated2,17989
UP,Pilibhit,meta,population,2037225
UP,Pilibhit,total,confirmed,11032
UP,Pilibhit,total,deceased,193
UP,Pilibhit,total,recovered,10838
UP,Pilibhit,total,tested,291538
UP,Pilibhit,total,vaccinated1,978332
UP,Pilibhit,total,vaccinated2,256931
UP,Pratapgarh,delta,vaccinated1,1796
UP,Pratapgarh,delta,vaccinated2,1482
UP,Pratapgarh,delta21_14,confirmed,1
UP,Pratapgarh,delta7,vaccinated1,40603
UP,Pratapgarh,delta7,vaccinated2,47832
UP,Pratapgarh,meta,population,3173752
UP,Pratapgarh,total,confirmed,16038
UP,Pratapgarh,total,deceased,163
UP,Pratapgarh,total,recovered,15875
UP,Pratapgarh,total,tested,100500
UP,Pratapgarh,total,vaccinated1,1480021
UP,Pratapgarh,total,vaccinated2,456869
UP,Prayagraj,delta,recovered,1
UP,Prayagraj,delta,vaccinated1,17
UP,Prayagraj,delta,vaccinated2,48
UP,Prayagraj,delta21_14,confirmed,2
UP,Prayagraj,delta7,confirmed,1
UP,Prayagraj,delta7,recovered,6
UP,Prayagraj,delta7,vaccinated1,75719
UP,Prayagraj,delta7,vaccinated2,79660
UP,Prayagraj,meta,population,5959798
UP,Prayagraj,total,confirmed,78699
UP,Prayagraj,total,deceased,1088
UP,Prayagraj,total,recovered,77609
UP,Prayagraj,total,tested,729300
UP,Prayagraj,total,vaccinated1,2731341
UP,Prayagraj,total,vaccinated2,862244
UP,Rae Bareli,delta,vaccinated1,576
UP,Rae Bareli,delta,vaccinated2,429
UP,Rae Bareli,delta21_14,confirmed,1
UP,Rae Bareli,delta7,vaccinated1,33906
UP,Rae Bareli,delta7,vaccinated2,46996
UP,Rae Bareli,meta,population,3404004
UP,Rae Bareli,total,confirmed,17104
UP,Rae Bareli,total,deceased,343
UP,Rae Bareli,total,recovered,16761
UP,Rae Bareli,total,tested,387408
UP,Rae Bareli,total,vaccinated1,1436175
UP,Rae Bareli,total,vaccinated2,344694
UP,Rampur,delta,vaccinated1,3
UP,Rampur,delta,vaccinated2,1
UP,Rampur,delta7,confirmed,2
UP,Rampur,delta7,vaccinated1,23526
UP,Rampur,delta7,vaccinated2,28753
UP,Rampur,meta,population,2335398
UP,Rampur,total,confirmed,11826
